# Friends Inviter

"100010134"; "Enter email addresses, separated by commas, in the field below."
"100010135"; "Invite Users"
"100010136"; "Invitations have been sent!"
"100010137"; "Your invitations have been sent."
"100010138"; "Invite Your Friends"
"100010139"; "It's more fun with friends! Invite your friends to join."
"100010140"; "You have"
"100010141"; "invite(s) remaining."
"100010142"; "When they signup, they will be instantly added to your friends list."
"100010143"; "Email:"
"100010144"; "Separate multiple email addresses (up to 5) with commas."
"100010145"; "Message:"
"100010146"; "Type your message here. (optional)"
"100010147"; "Send Invitation"
"100010148"; "You must be logged in to view this page. <a href='login.php'>Click here</a> to login."
"100010149"; "An Error Has Occurred."
"100010150"; "Return"
"100010151"; "Enter the numbers you see in this image into the field to its left. This helps keep our site free of spam."
"100010152"; "Please make sure you have correctly entered the verification code."
"100010153"; "Please enter at least one recipient email address for your invitation."
"100010154"; "Invite friends from your address book."
"100010155"; "Email:"
"100010156"; "(for example mymail@gmail.com)"
"100010157"; "Password:"
"100010158"; "We don't store your login information."
"100010159"; "Network:"
"100010160"; "Invite friends"
"100010161"; "Messenger, LinkedIn, Plaxo, ..."
"100010162"; "Auto"
"100010163"; "Invite your friends"
"100010164"; "Your contacts"
"100010165"; "Please select which of your contacts would you like to invite."
"100010166"; "Select all/nothing"
"100010167"; "Invite Friends"
"100010168"; "Cancel"
"100010169"; "We don't store your login information."
"100010170"; "Web Email "
"100010171"; "Start typing domain..."
"100010172"; "This domain may be supported."
"100010173"; "Type domain here"
"100010174"; "(Gmail, Hotmail, Yahoo, ...)"
"100010175"; "Loading... (this may take a second)"
"100010176"; "Or invite from your address book"
"100010177"; "Or invite by manually typing emails"
"100010178"; "(Click to Open)"
"100010179"; "other..."
"100010180"; "+ Add more"
"100010181"; "friends"
"100010182"; "that are still not here!"
"100010183"; "Current Friends"
"100010184"; "Friend Requests"
"100010185"; "Friend Settings"
"100010186"; "Outgoing Friend Requests"
"100010187"; "It's more fun with friends! Check which of your address book buddies is already here."
"100010188"; "Find Your Friends"
"100010189"; "Select all your friends"
"100010190"; "You have "
"100010191"; " contacts already here that you can add as friends"
"100010192"; "Add to friends"
"100010193"; "Select which users would you like to add as friends."
"100010194"; "Login to your address book to find your friends."
"100010195"; "or"
"100010196"; "Invite Friends"
"100010197"; "Pending Invites"
"100010198"; "Statistics"
"100010199"; "You must be logged in to view this page. <a href='login.php'>Click here</a> to login."
"100010200"; "An Error Has Occurred."
"100010201"; "Return"
"100010202"; "Pending Invites"
"100010203"; "Here you can see status of your invitations."
"100010204"; "You do not have any pending invites at this time."
"100010205"; "Previous Page"
"100010206"; "viewing invite"
"100010207"; "viewing invites"
"100010208"; "of"
"100010209"; "Next Page"
"100010210"; "Invite Friends"
"100010211"; "Pending Invites"
"100010212"; "Statistics"
"100010213"; "Statistics"
"100010214"; "Here you can view statistics of your invitations."
"100010215"; "Invites Sent:"
"100010216"; "Referred Users:"
"100010217"; "Invite Friends"
"100010218"; "Pending Invites"
"100010219"; "Statistics"
"100010220"; "Invite friends from your address book."
"100010221"; "Email:"
"100010222"; "(for example mymail@gmail.com)"
"100010223"; "Password:"
"100010224"; "Find friends!"
"100010225"; "Messenger, LinkedIn, Plaxo, ..."
"100010226"; "Invite your friends"
"100010227"; "Your contacts"
"100010228"; "Please choose contacts you would like to invite from the list"
"100010229"; "Choose all/nothing"
"100010230"; "Invite friends"
"100010231"; "Cancel"
"100010232"; "We don't store your login information."
"100010233"; "Web mail"
"100010234"; "Please enter at least one email address."
"100010234_"; "Please enter at least one email address. (Note: Emails of registered members and members that have opted out from receiving invitation messages are not accepted.)"
"100010235"; "Your invites were sent."
"100010236"; "Select all your friends"
"100010237"; "You have "
"100010238"; " contacts already here"
"100010240"; " that you can add as friends."
"100010241"; "Select which users would you like to add as friends."
"100010242"; "Choose another email account"
"100010243"; " to find more friends"
"100010244"; "Add to friends"
"100010245"; "Skip"
"100010246"; " contacts "
"100010247"; "that are still not here!"
"100010248"; "that are not on "
"100010249"; "Select which of your contacts would you like to invite."
"100010250"; "Please correct your login details."
"100010251"; "No contacts."
"100010252"; "Start typing domain..."
"100010253"; "This domain may be supported."
"100010254"; "Type domain here"
"100010255"; "Web Email "
"100010256"; "(Click to Open)"
"100010257"; "(other...)"
"100010258"; "Network"
"100010259"; "Loading... (this may take a second)"
"100010260"; "Or invite from your address book"
"100010261"; "Or invite by manually typing emails"
"100010262"; "+ Add more"
"100010263"; "Your Message"
"100010264"; "If you want to include a personal message in your invitations, enter it here. (optional)"
"100010265"; "Find Your Friends"
"100010266"; "It's more fun with friends! Check which of your address book buddies is already here."
"100010267"; "or"
"100010268"; "Unsubscribe"
"100010269"; "Here you can unsubscribe from receiving any future invitation emails from our website."
"100010270"; "Your Email:"
"100010271"; "Unsubscribe"
"100010272"; "Please verify you have entered valid email address."
"100010273"; "You have been unsubscribed. Please allow 1-2 business days for processing."
"100010274"; "Top Webmail services"
"100010275"; "Edit pre-selected webmail services that will appear in the drop down box of the web mails on the invitation page. ( gmail.com, yahoo.com ... ) "
"100010276"; "+ Add more"
"100010277"; "Top Networks"
"100010278"; "Edit list of services that will appear on the network selection drop-down box on the invitation page. Networks include - Messenger, Facebook, Hi5, Myspace, LinkedIn, etc <br> To remove a service, clear \"Display Name\" field.<br> <strong><u>NOTE</u></strong>: Service Name must be matched exactly to the provided list - no spaces, only english."
"100010279"; "Enabled?"
"100010280"; "Display Name"
"100010281"; "Service Name"
"100010282"; "Logo file"
"100010283"; "+ Add more"
"100010284"; "Filter emails"
"100010285"; "Edit list of emails that should never receive invitation messages, like support@, info@ ...   Note: Regular expression match."
"100010286"; "+ Add more"
"100010287"; "Referrals / Invitation Tracker"
"100010288"; "Here you can see referrals information and statistics"
"100010289"; "User"
"100010290"; "User ID:"
"100010291"; "Referring User:"
"100010292"; "Referring User ID:"
"100010293"; "Filter"
"100010294"; "No users were found."
"100010295"; "Users Found"
"100010296"; "Page:"
"100010297"; "ID"
"100010298"; "Invites Sent"
"100010299"; "Referred Users"
"100010300"; "Referred By User"
"100010301"; "Users Found"
"100010302"; "Page:"
"100010303"; "SocialEngineMods Quick Support"
"100010304"; "Having a problem? Send us an email from here, or <a target=\"blank\" href=\"http://www.socialenginemods.net\">visit our website</a>"
"100010305"; "You support request has been sent."
"100010306"; "Name"
"100010307"; "Email"
"100010308"; "Subject"
"100010309"; "Submit support request"
"100010310"; "My Referral Link"
"100010311"; "Please enter captcha"
"100010312"; "Please enter the captcha:"
"100010313"; "Continue"
"100010314"; "Please select which of your friends would you like to invite"
"100010315"; "Select all/nothing"
"100010316"; "Please enter captcha"
"100010317"; "Please enter the captcha:"
"100010318"; "Continue"
"100010319"; "Cancel"
"100010320"; "You have"
"100010321"; "friends"
"100010322"; "that are still not here!"
"100010323"; "Please select which of your friends would you like to invite"
"100010324"; "Select all/nothing"
"100010325"; "My Referral Link"
"100010326"; "delete"
"100010327"; "send new invite"
"100010328"; "sending..."
"100010329"; "My Referral Link"
"100010330"; "My Referral Link"
"100010331"; "You can either send an invitation from our site or you can copy and paste your Personal Referral Link and send it in an email or instant message to friends, family members or co-workers."
"100010332"; "My Referral Link:"
"100010333"; "My Referral Link"
"100010334"; "Invalid API Key"
"100010335"; "Invalid Secret"
"100010336"; "Upload CSV Contacts"
"100010337"; "Upload Your Contacts CSV File (Outlook, Thunderbird, ...)"
"100010338"; "Upload"
"100010339"; "Next"

"TOP_SOCIAL_NETWORKS"; "Edit list of services that will appear on the network selection drop-down box on the invitation page."
"_FRIENDSINVITER_ADMIN_STATS_FRIENDSINVITER_IMPORTED_CONTACTS"; "Imported Contacts"
"_FRIENDSINVITER_ADMIN_STATS_FRIENDSINVITER_INVITED_CONTACTS"; "Invited Contacts"
"_FRIENDSINVITER_ADMIN_STATS_USER_INVITATIONS"; "Invitations Sent"
"FRIENDSINVITER_ADMIN_LEADERBOARD_DESC"; "On this page you can find the top inviters and referring users."
"_CORE_ADMIN_STATS_FRIENDSINVITER_CONVERTED_INVITES"; "Referred Users"
"_CORE_ADMIN_STATS_FRIENDSINVITER_IMPORTED_CONTACTS"; "Imported Contacts"
"_CORE_ADMIN_STATS_FRIENDSINVITER_INVITED_CONTACTS"; "Invited Contacts"
"_CORE_ADMIN_STATS_FRIENDSINVITER_INVITES"; "Invitations Sent"
"ADMIN_SIGNUP_STEP_FRIENDSINVITER_PLUGIN_SIGNUP_INVITE"; "Invite Friends"
