"INVITER_Clear Credentials";"Clear Credentials"
"INVITER_Total Invitations sent";"Total Invitations sent"
"INVITER_Total Signups by Invitations";"Total Signups from Invitations"
"INVITER_Invites/Signups Ratio";"Invites/Signups Ratio"
"INVITER_Are you sure you want to delete the selected user accounts?";"Are you sure you want to delete the selected user accounts?"
"INVITER_Filter inviters";"Filter inviters"
"INVITER_%s inviter found";"%s inviter found";"%s inviters found"
"INVITER_Referred Users";"Referred Users"
"INVITER_VIEWS_SCRIPTS_INDEX_SUGGEST_DESCRIPTION";"Add people you know as friends and connect with public profiles you like."
"INVITER_Invite your friends from your contact list.";"Invite your friends from your contact list."
"INVITER_VIEWS_INDEX_CONTACTS_DESCRIPTION";"Below you can see you contact list fetched from your address book, please select contacts which you would like to invite to join on site."
"INVITER_VIEWS_INDEX_CONTACTSFACEBOOK_DESCRIPTION";"Below you can see list of your friends from Facebook, please select friends which you would like to invite to join on site.<br/><a href='http://www.facebook.com/help/?faq=12203' target='blank'>Facebook privacy: You can send invitation to twenty friends at once.</a>"
"INVITER_Select all members";"Select all members"
"INVITER_There is no contacts.";"There are no contacts."
"INVITER_Import Your Contacts";"Import Your Contacts"
"INVITER_Upload Your Contacts";"Upload Your Contacts"
"INVITER_Write Your Contacts";"Add Single Addresses"
"INVITER_Edit list";"Edit list"
"INVITER_VIEWS_SCRIPTS_INDEX_MEMBERS";"Add Friends"
"INVITER_VIEWS_SCRIPTS_INDEX_MEMBERS_DESCRIPTION";"The following contacts are already signed up on our site. Select contacts to which you would like to send friend request."
"INVITER_Pending Invitations";"Pending Invitations"
"INVITER_VIEWS_SCRIPTS_INVITATIONS_INDEX_DESCRIPTION";"Below you can find your pending invitations."
"INVITER_send new invite";"resend invitation"
"INVITER_There are no pending invitations.";"There are no pending invitations."
"INVITER_My Referrals";"My Referrals"
"INVITER_VIEWS_SCRIPTS_REFERRALS_DESCRIPTION";"Check below your refferals - members who signed up from your invitation."
"INVITER_There are no referrals.";"There are no referrals."
"INVITER_No contacts selected!!!";"No contacts selected!"
"INVITER_VIEWS_SCRIPTS_SIGNUP_CONTACTS_DESCRIPTION";"Invite friends from your address book or social service. We don't store your login information."
"INVITER_No members selected!!!";"No members selected!"
"INVITER_VIEWS_SCRIPTS_SIGNUP_MEMBERS";"You have contacts on our Social Network that you can add as your friends."
"INVITER_VIEWS_SIGNUP_MEMBERS_DESCRIPTION";"The following contacts are already signed up on our site. Select contacts to which you would like to send friend request."
"INVITER_%s mutual friend";"%s mutual friend";"%s mutual friends"
"INVITER_Add Contacts File";"Add Contacts File"
"INVITER_To enable the embedded uploader, unblock it in your browser and refresh (see Adblock).";"To enable the embedded uploader, unblock it in your browser and refresh (see Adblock)."
"INVITER_To enable the embedded uploader, enable the blocked Flash movie (see Flashblock).";"To enable the embedded uploader, enable the blocked Flash movie (see Flashblock)."
"INVITER_A required file was not found, please be patient and we will fix this.";"A required file was not found, please be patient and we will fix this."
"INVITER_To enable the embedded uploader, install the latest Adobe Flash plugin.";"To enable the embedded uploader, install the latest Adobe Flash plugin."
"INVITER_View More";"View More"
"INVITER_%s invite";"%s invite";"%s invites"
"INVITER_%s referral";"%s referral";"%s referrals"
"INVITER_Edit list of people you may know.";"Edit list of people you may know."
"USER_ADMIN_SIGNUP_STEP_5";"Friends Inviter"

"_EMAIL_INVITER_TITLE";"Friends Inviter"
"_EMAIL_INVITER_SUBJECT";"You have received an invitation to join our social network."
"_EMAIL_INVITER_BODY";"Hello [to],

You have been invited by [from] to join our social network.

To join, please follow the link below:
[link]

Invitation code: [code]

Best Regards,
Social Network Administration

----------------------------------------
[message]"
"_EMAIL_INVITER_DESCRIPTION";"This is the email that gets sent when members invite their friends to join during the signup process or using Inviter page or widget."

"INVITER_Find Your Friends";"Find Your Friends"
"INVITER_No contacts specified";"No contacts specified"
"INVITER_Unable to get contacts.";"Unable to get contacts."


"INVITER_Introduce Yourself";"Introduce Yourself"
"INVITER_INTRODUCE_YOURSELF_DESC";"Introduction allows you to find more friends - just type a short message about yourself and what you are interested in. You can edit it later <a href='%s' target='_blank'>here</a>"
"INVITER_Add info";"Start"
"INVITER_FORM_EDIT_INTRODUCE_DESCRIPTION";"Introduction allows you to find more friends - just type a short message about yourself and what you are interested in. We randomly show introductions on Home page so it allows to find a lot of friends."
"INVITER_About me";"About me"
"INVITER_Show your introduction";"Show My Introduction"
"INVITER_Profile Introduction";"Profile Introduction"
"INVITER_My Introduction";"My Introduction"
"INVITER_Your information successfully saved";"Your information successfully saved";
"INVITER_Failed! Please type few words about you.";"Failed! Please type few words about you."
"INVITER_Introduce Member";"Introduce Member"
"INVITER_%s mutual friend";"%s mutual friend";"%s mutual friends"
"INVITER_%s mutual like";"%s mutual like";"%s mutual likes"
"INVITER_Find More Friends";"Find More Friends"
"INVITER_%s, More Friends Are Waiting";"%s, More Friends Are Waiting"
"INVITER_These %s found their friends";"This %s found his friends using the friend finder. Have you found all of your friends? Give it a try.";"These %s found their friends using the friend finder. Have you found all of your friends? Give it a try."
"INVITER_Friend";"friend"
"INVITER_%s Friends";"%s friends"
"INVITER_Find Friends";"Find Friends"
"INVITER_Facebook Friends";"Facebook Friends"
"INVITER_Invite your Facebook friends to join";"Invite your Facebook friends to join"
"INVITER_Facebook Friends on Site";"Facebook Friends on Site"
"INVITER_You're friended on Facebook, connect with them here!";"Friended on Facebook, connect with them here!"
"INVITER_Friended on Facebook and Site";"Friended on Facebook and Site"
"INVITER_I connected with them on Facebook and Site";"I connected with them on Facebook and Site"
"INVITER_Invite them";"Invite them"
"INVITER_joined as %s";"joined as %s"
"INVITER_Back to invitations";"Back to invitations"
"INVITER_To continue you need login as %s";"To continue you need login as %s"
"INVITER_FACEBOOK_PAGE_TITLE";"My Facebook"
"INVITER_FACEBOOK_PAGE_DESCRIPTION";"You can view facebook friends here and invite them. Check facebook friends who already joined our site - just connect with them here!"
"INVITER_FACEBOOK_INTEGRATION_ERROR";"Please provide Facebook Application ID to enable Facebook Integration. You can do it %s you just need to add application id."
"INVITER_Select the friends you want to invite.";"Select the friends you want to invite."
"ADMIN_SIGNUP_STEP_INVITER_PLUGIN_SIGNUP_INVITE";"Advanced Friends Inviter step"
"INVITER_Please wait soon you will redirected to signup page.";"Please wait, soon you will be redirected to signup page."
"INVITER_You need to be logged into Facebook to invite your friends.";"You need to be logged into Facebook to invite your friends."
"INVITER_Skip this step.";"Skip this step."
"INVITER_You have already invited all your contacts and connected with them here.";"You have already invited all your contacts and connected with them here."
"INVITER_Please enter just the username, not the full email";"Please enter just the username, not the full email"
"INVITER_Providers Settings";"Providers Settings"
"INVITER_FORM_ADMIN_PROVIDERS_DESCRIPTION";"Please configure Facebook, Twitter and LinkedIn settings to make them work. These services require application creation to interact with them. You can find detailed information about application creation at Hire-Experts.com."
"INVITER_TWITTER_APP_DESC";"If you would like Twitter integration then create an Application through the <a href=""http://twitter.com/apps/new"" target=""_blank"">Twitter Developers</a> page."
"You are being invited to join our social network.";"You are being invited to join our social network."
"INVITER_Confirm Account";"Confirm Account"
"INVITER_FORM_CONFIRM_ACCOUNT_DESC";"Do you want to continue as <b>%s</b>"
"INVITER_Continue";"Continue"
"INVTTER_Use another account";"Use another account"
"INVITER_LINKEDIN_APP_DESC";"If you would like LinkedIn integration then create an Application through the <a href=""https://www.linkedin.com/secure/developer"" target=""_blank"">LinkedIn Developers</a> page."
"INVITER_Twitter Followers";"Twitter Followers"
"INVITER_Invite your Twitter followers to join";"Invite your Twitter followers to join"
"INVITER_Connect with Twitter";"Connect with Twitter"
"INVITER_Invite your LinkedIn connections to join";"Invite your LinkedIn connections to join"
"INVITER_Connect with LinkedIn";"Connect with LinkedIn"
"INVITER_LinkedIn Connections";"LinkedIn Connections"
"INVITER_Twitter Followers on Site";"Twitter Followers on Site"
"INVITER_You're friended on Twitter, connect with them here!";"You're friended on Twitter, connect with them here!"
"INVITER_Friended on Twitter and Site";"Friended on Twitter and Site"
"INVITER_I connected with them on Twitter and Site";"I connected with them on Twitter and Site"
"INVITER_Friended on LinkedIn and Site";"Friended on LinkedIn and Site"
"INVITER_I connected with them on LinkedIn and Site";"I connected with them on LinkedIn and Site"
"INVITER_LinkedIn Connections on Site";"LinkedIn Connections on Site"
"INVITER_You're friended on LinkedIn, connect with them here!";"You're friended on LinkedIn, connect with them here!"
"INVITER_Connect with Facebook";"Connect with Facebook"
"INVITER_You have received an invitation to join our social network.";"You have received an invitation to join our social network."
"INVITER_You have been invited by %1$s to join our social network. To join, please follow the link below: %2$s %3$s";"You have been invited by %1$s, please follow the link below to join: %2$s
 %3$s"

"INVITER_There was an error sending your message: The text length of your message is over the limit.";"There was an error sending your message: The text length of your message is over the limit."
"INVITER_Failed! The text length of your message is over the limit.";"There was an error sending your message: the text length of your message is over the limit."

"INVITER_Manage Providers";"Manage Providers"
"INVITER_MANAGE_PROVIDERS_DESC";"Below you can see supported social networks and email services. You disable disable them if you don't like them to be shown and used by members to import contacts, you can enable them at any time. Also you can choose which services should be shown on `Inviter` widget with icons(recommended to display most popular services)."
"INVITER_Enabled";"Enabled"
"INVITER_disable";"disable"
"INVITER_enable";"enable"
"INVITER_hide";"hide"
"INVITER_show";"show"
"INVITER_Show on widget";"Show on widget"

"Facebook settings";"Facebook settings"
"Twitter settings";"Twitter settings"
"LinkedIn settings";"LinkedIn settings"
"GMail settings";"Gmail/Orkut settings"
"INVITER_GMAIL_APP_DESC";"If you would like GMail/Orkut integration then add  through the <a href=""https://www.google.com/accounts/ManageDomains"" target=""_blank"">Manage your domains</a> page."
"INVITER_YAHOO_APP_DESC";"If you would like Yahoo integration then add  through the <a href=""https://developer.apps.yahoo.com/projects"" target=""_blank"">Yahoo Developers</a> page."
"INVITER_HOTMAIL_APP_DESC";"If you would like Live/Hotmail/MSN integration then add  through the <a href=""https://manage.dev.live.com/"" target=""_blank"">My Apps</a> page."
"INVITER_LASTFM_APP_DESC";"If you would like Last.fm integration then add  through the <a href=""http://www.last.fm/api/account"" target=""_blank"">My Apps</a> page."

"INVITER_MYSPACE_APP_DESC";"If you would like MySpace integration then add  through the <a href=""http://www.last.fm/api/account"" target=""_blank"">My Apps</a> page."

"INVITER_FOUR_APP_DESC";"If you would like Foursquare integration then add  through the <a href=""https://foursquare.com/oauth/"" target=""_blank"">My OAuth Consumers</a> page."
"INVITER_MAILRU_APP_DESC";"If you would like Mail.ru integration then add  through the <a href=""http://api.mail.ru/sites/my/add/"" target=""_blank"">My Sites</a> page."

"INVITER_Mozilla Thunderbird";"Mozilla Thunderbird"

"INVITER_FACEBOOK_APP_DESC";"If you would like Facebook integration then create an Application through the <a href=""http://www.facebook.com/developers/apps.php"" target=""_blank"">Facebook Developers</a> page."
"Invitations";"Invitations"
"My Referrals";"My Referrals"
"Facebook";"Facebook"
"Inviter";"Inviter"
"Provider";"Provider"
"View Charts";"View Charts"
"Yahoo settings";"Yahoo settings"
"Consumer Key";"Consumer Key"
"Consumer Secret";"Consumer Secret"
"API Key";"API Key"
"Secret Key";"Secret Key"
"OAuth Consumer Key";"OAuth Consumer Key"
"OAuth Consumer Secret";"OAuth Consumer Secret"
"email...";"email..."
"password...";"password..."
"provider...";"provider..."
"INVITER_Add as friend";"Add as friend"
"INVITER_Facebook session has been expired. Please try again.";"Your Facebook session has been expired. Please try again."


"PAGE_INVITER_FROM_WIDGET_IMPORT_DESCRIPTION";"Import and invite your contacts to check your page. Please choose a social network or email service where from we can import your contacts:"
"PAGE_INVITER_Import Contacts";"Import Contacts"
"PAGE_INVITER_Send Invitations";"Send Invitations"
"PAGE_INVITER_FORM_WRITE_DESCRIPTION";"Invite your friends to check your page. Enter email addresses separated by commas in the recipients box below. If your friends decide to sign up, a friend request from you will be waiting for them when they first sign in."
"PAGE_INVITER_Import Your Contacts";"Import Your Contacts"
"PAGE_INVITER_Write Your Contacts";"Write Your Contacts"
"PAGE_INVITER_Failed!, please check your contacts and try again.";"Failed, please check your contacts and try again."
"PAGE_INVITER_Failed! Please check and try again later.";"Failed! Please check and try again later."
"PAGE_INVITER_People You May Know";"People You May Know"
"PAGE_INVITER_Edit list";"Edit list"
"PAGE_INVITER_VIEWS_SCRIPTS_INDEX_SUGGEST_DESCRIPTION";"Add people you know as friends and connect with public profiles you like."
"PAGE_INVITER_Edit list of people you may know.";"Edit list of people you may know."
"PAGE_INVITER_VIEWS_SCRIPTS_INDEX_MEMBERS";"Add Friends"
"PAGE_INVITER_VIEWS_SCRIPTS_INDEX_MEMBERS_DESCRIPTION";"The following contacts are already signed up on our site. Select contacts to which you would like to send friend request."
"PAGE_INVITER_Select all members";"Select all members"
"PAGE_INVITER_There is no contacts.";"There are no contacts."
"PAGE_INVITER_Invite your friends from your contact list.";"Invite your friends from your contact list."
"PAGE_INVITER_VIEWS_INDEX_CONTACTSFACEBOOK_DESCRIPTION";"Below you can see list of your friends from Facebook, please select friends which you would like to invite to join on site.<br/><a href='http://www.facebook.com/help/?faq=12203' target='blank'>Facebook privacy: You can send invitation to twenty friends at once.</a>"
"PAGE_INVITER_VIEWS_INDEX_CONTACTS_DESCRIPTION";"Below you can see you contact list fetched from your address book, please select contacts which you would like to invite to join on site."
"PAGE_INVITER_No contacts specified";"No contacts specified."
"PAGE_INVITER_No action taken";"No action taken."
"PAGE_INVITER_Invalid data";"Invalid data."
"PAGE_INVITER_There was an error sending your message: The text length of your message is over the limit.";"There was an error sending your message: The text length of your message is over the limit."
"PAGE_INVITER_Invitations sucessfully have been sent to your contacts.";"Invitations successfully have been sent to your contacts."
"PAGE_INVITER_Login failed. Please check the email and password you have provided and try again later";"Login failed. Please check the email and password you have provided and try again later."

"PAGE_INVITER_Invite friends now";"Invite friends on this page now!"
"PAGE_INVITER_Invite";"Invite!"
"PAGE_INVITER_Back to Providers";"Back to Providers"
"PAGE_INVITER_Back to Page";"Back to Page"
"PAGE_INVITER_Check Page";"Check page on social network"
"PAGE_INVITER_You are being invited to join our social network.";"You are being invited to check our page on social network."
"PAGE_INVITER_Written contact's already member.";"Written contacts have already liked this page"

"_EMAIL_PAGE_INVITER_TITLE";"Friends Inviter - invitation to like Pages"
"_EMAIL_PAGE_INVITER_SUBJECT";"You have received an invitation to check our page."
"_EMAIL_PAGE_INVITER_BODY";"Hello [to],

You have been invited by [from] to check our social page - [page_title].

You can view [page_title] by following the link below:
[link]

Best Regards,
Social Network Administration

----------------------------------------
[message]"
"_EMAIL_PAGE_INVITER_DESCRIPTION";"This is the email that gets sent when members invite their friends to check their page(<a href='www.hire-experts.com/social-engine/pages-se4-plugin' target='_blank'>Pages plugin</a> which allows members to create official social page for local business, public figures, etc)"

"INVITER_Have you found all of your friends? Give it a try.";"Have you found all of your friends? Give it a try."
"HE - Friends Inviter";"HE - Friends Inviter"
